POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price
2954,SHARK LENTICULAR BOOKMARK,9421026450173,Kalyn Imports Ltd,TD16022,4.99
2955,HOT AIR BALLOON 3D BKMK disc,9421026450180,Kalyn Imports Ltd,TD16019,4.99
2956,THE NIGHT BEFORE CHRISTMAS BDB,,HARPER COLLINS PUBLISHERS,9780060739171,8.99
2957,CHRISTMAS IN THE MANGER BDBK,,HARPER COLLINS PUBLISHERS,9780694012275,8.99
2958,NUTCRACKER,,HARPER COLLINS PUBLISHERS,9780060743864,19.99
2959,CHRISTMAS IN THE BARN,,HARPER COLLINS PUBLISHERS,9780060526368,8.99
2960,NIGHT BEFORE CHRISTMAS BDBK,,HARPER COLLINS PUBLISHERS,9780694004249,8.99
2961,COLOR WHEEL,,MUSGRAVE PENCIL CO,DLT2313,0.3
2962,3D SOLAR SYSTEM,,University Games,19862,27.99
2963,HEARTS TRIMMER,,Creative Teaching Press,CTP0130,4.99
2964,HEART STICKERS,,Creative Teaching Press,CTP1254,2.99
2965,CONVERSATION HEART STICKERS,,Creative Teaching Press,CTP4596,3.5
2966,PLACE VALUE FLASH CARDS disc,,REMEDIA PUBLICATIONS,REM1252B,9.99
